date,name,value,value_norm
1931-01-01,Furnas,1476,0.35800731775963973
1931-02-01,Furnas,2964,0.7768083309878976
1931-03-01,Furnas,2167,0.5524908528004503
1931-04-01,Furnas,1585,0.38868561778778493
1931-05-01,Furnas,1254,0.29552490852800445
1931-06-01,Furnas,785,0.16352378271882917
1931-07-01,Furnas,607,0.11342527441598649
1931-08-01,Furnas,469,0.07458485786659161
1931-09-01,Furnas,538,0.09400506614128906
1931-10-01,Furnas,662,0.1289051505769772
1931-11-01,Furnas,667,0.13031241204615818
1931-12-01,Furnas,1127,0.2597804672108077
1932-01-01,Furnas,1908,0.47959470869687587
1932-02-01,Furnas,1898,0.47678018575851394
1932-03-01,Furnas,1534,0.374331550802139
1932-04-01,Furnas,868,0.18688432310723332
1932-05-01,Furnas,673,0.13200112580917533
1932-06-01,Furnas,632,0.12046158176189137
1932-07-01,Furnas,473,0.07571066704193638
1932-08-01,Furnas,393,0.05319448353504081
1932-09-01,Furnas,388,0.05178722206585983
1932-10-01,Furnas,521,0.08922037714607375
1932-11-01,Furnas,573,0.10385589642555587
1932-12-01,Furnas,1474,0.35744441317196735
1933-01-01,Furnas,1330,0.3169152828595553
1933-02-01,Furnas,726,0.14691809738249367
1933-03-01,Furnas,696,0.13847452856740783
1933-04-01,Furnas,610,0.11426963129749507
1933-05-01,Furnas,441,0.06670419363917815
1933-06-01,Furnas,356,0.0427807486631016
1933-07-01,Furnas,329,0.035181536729524336
1933-08-01,Furnas,325,0.034055727554179564
1933-09-01,Furnas,295,0.02561215873909372
1933-10-01,Furnas,411,0.05826062482409231
1933-11-01,Furnas,295,0.02561215873909372
1933-12-01,Furnas,692,0.13734871939206306
1934-01-01,Furnas,1210,0.2831410075992119
1934-02-01,Furnas,699,0.1393188854489164
1934-03-01,Furnas,752,0.15423585702223472
1934-04-01,Furnas,480,0.07768083309878976
1934-05-01,Furnas,333,0.03630734590486912
1934-06-01,Furnas,276,0.020264565156206026
1934-07-01,Furnas,240,0.01013228257810301
1934-08-01,Furnas,204,0.0
1934-09-01,Furnas,247,0.012102448634956374
1934-10-01,Furnas,272,0.01913875598086124
1934-11-01,Furnas,320,0.032648466084998586
1934-12-01,Furnas,1285,0.3042499296369265
1935-01-01,Furnas,1846,0.4621446664790318
1935-02-01,Furnas,2584,0.6698564593301436
1935-03-01,Furnas,1547,0.37799043062200954
1935-04-01,Furnas,1334,0.31804109203490005
1935-05-01,Furnas,909,0.1984238671545173
1935-06-01,Furnas,674,0.13228257810301153
1935-07-01,Furnas,554,0.09850830284266818
1935-08-01,Furnas,468,0.07430340557275542
1935-09-01,Furnas,436,0.06529693216999718
1935-10-01,Furnas,619,0.11680270194202083
1935-11-01,Furnas,527,0.09090909090909091
1935-12-01,Furnas,661,0.12862369828314102
1936-01-01,Furnas,594,0.10976639459611595
1936-02-01,Furnas,662,0.1289051505769772
1936-03-01,Furnas,1812,0.4525752884886011
1936-04-01,Furnas,942,0.20771179285111172
1936-05-01,Furnas,626,0.11877286799887418
1936-06-01,Furnas,436,0.06529693216999718
1936-07-01,Furnas,365,0.04531381930762735
1936-08-01,Furnas,352,0.041654939487756816
1936-09-01,Furnas,445,0.06783000281452295
1936-10-01,Furnas,351,0.04137348719392062
1936-11-01,Furnas,601,0.11173656065296933
1936-12-01,Furnas,1302,0.3090346186321418
1937-01-01,Furnas,2600,0.6743596960315227
1937-02-01,Furnas,1589,0.3898114269631297
1937-03-01,Furnas,1112,0.2555586828032648
1937-04-01,Furnas,832,0.17675204052913032
1937-05-01,Furnas,836,0.1778778497044751
1937-06-01,Furnas,620,0.11708415423585702
1937-07-01,Furnas,456,0.07092597804672107
1937-08-01,Furnas,364,0.04503236701379116
1937-09-01,Furnas,307,0.028989586265128063
1937-10-01,Furnas,819,0.17309316070925979
1937-11-01,Furnas,997,0.22319166901210244
1937-12-01,Furnas,2343,0.6020264565156206
1938-01-01,Furnas,1899,0.4770616380523501
1938-02-01,Furnas,1646,0.4058542077117928
1938-03-01,Furnas,1445,0.3492822966507177
1938-04-01,Furnas,952,0.2105263157894737
1938-05-01,Furnas,850,0.18181818181818182
1938-06-01,Furnas,637,0.12186884323107233
1938-07-01,Furnas,508,0.08556149732620322
1938-08-01,Furnas,481,0.07796228539262595
1938-09-01,Furnas,481,0.07796228539262595
1938-10-01,Furnas,793,0.1657754010695187
1938-11-01,Furnas,914,0.19983112862369826
1938-12-01,Furnas,1647,0.406135660005629
1939-01-01,Furnas,2089,0.5305375738812271
1939-02-01,Furnas,1999,0.5052068674359697
1939-03-01,Furnas,1063,0.2417675204052913
1939-04-01,Furnas,957,0.21193357725865467
1939-05-01,Furnas,728,0.14748100197016606
1939-06-01,Furnas,559,0.09991556431184914
1939-07-01,Furnas,483,0.07852518998029834
1939-08-01,Furnas,398,0.054601745004221776
1939-09-01,Furnas,351,0.04137348719392062
1939-10-01,Furnas,398,0.054601745004221776
1939-11-01,Furnas,606,0.1131438221221503
1939-12-01,Furnas,1356,0.32423304249929635
1940-01-01,Furnas,2018,0.5105544610188574
1940-02-01,Furnas,2425,0.6251055446101886
1940-03-01,Furnas,2077,0.5271601463551928
1940-04-01,Furnas,1144,0.26456515620602306
1940-05-01,Furnas,824,0.17450042217844075
1940-06-01,Furnas,637,0.12186884323107233
1940-07-01,Furnas,513,0.08696875879538418
1940-08-01,Furnas,408,0.05741626794258373
1940-09-01,Furnas,382,0.05009850830284266
1940-10-01,Furnas,464,0.07317759639741064
1940-11-01,Furnas,1043,0.23613847452856743
1940-12-01,Furnas,1554,0.3799605966788629
1941-01-01,Furnas,1710,0.4238671545173093
1941-02-01,Furnas,1005,0.22544328736279198
1941-03-01,Furnas,973,0.21643681396003375
1941-04-01,Furnas,794,0.1660568533633549
1941-05-01,Furnas,508,0.08556149732620322
1941-06-01,Furnas,458,0.07148888263439349
1941-07-01,Furnas,456,0.07092597804672107
1941-08-01,Furnas,334,0.036588798198705315
1941-09-01,Furnas,607,0.11342527441598649
1941-10-01,Furnas,666,0.13003095975232198
1941-11-01,Furnas,704,0.14072614691809737
1941-12-01,Furnas,1307,0.3104418801013228
1942-01-01,Furnas,1309,0.3110047846889952
1942-02-01,Furnas,1244,0.2927103855896425
1942-03-01,Furnas,1863,0.46692935547424713
1942-04-01,Furnas,1033,0.23332395159020544
1942-05-01,Furnas,768,0.15873909372361386
1942-06-01,Furnas,637,0.12186884323107233
1942-07-01,Furnas,546,0.0962566844919786
1942-08-01,Furnas,419,0.06051224317478187
1942-09-01,Furnas,390,0.05235012665353222
1942-10-01,Furnas,540,0.09456797072896145
1942-11-01,Furnas,858,0.18406980016887137
1942-12-01,Furnas,1231,0.289051505769772
1943-01-01,Furnas,2727,0.7101041373487194
1943-02-01,Furnas,2198,0.5612158739093723
1943-03-01,Furnas,2057,0.521531100478469
1943-04-01,Furnas,1132,0.2611877286799887
1943-05-01,Furnas,826,0.17506332676611314
1943-06-01,Furnas,680,0.1339712918660287
1943-07-01,Furnas,554,0.09850830284266818
1943-08-01,Furnas,495,0.08190261750633268
1943-09-01,Furnas,442,0.06698564593301434
1943-10-01,Furnas,648,0.12496481846327048
1943-11-01,Furnas,657,0.12749788910779622
1943-12-01,Furnas,1094,0.2504925415142133
1944-01-01,Furnas,1003,0.2248803827751196
1944-02-01,Furnas,1521,0.37067267098226847
1944-03-01,Furnas,1631,0.4016324233042499
1944-04-01,Furnas,915,0.20011258091753445
1944-05-01,Furnas,618,0.11652124964818464
1944-06-01,Furnas,495,0.08190261750633268
1944-07-01,Furnas,422,0.06135660005629045
1944-08-01,Furnas,347,0.04024767801857585
1944-09-01,Furnas,293,0.025049254151421334
1944-10-01,Furnas,340,0.03827751196172249
1944-11-01,Furnas,508,0.08556149732620322
1944-12-01,Furnas,671,0.13143822122150295
1945-01-01,Furnas,875,0.18885448916408668
1945-02-01,Furnas,1978,0.4992963692654095
1945-03-01,Furnas,1208,0.2825781030115395
1945-04-01,Furnas,995,0.22262876442443005
1945-05-01,Furnas,628,0.11933577258654657
1945-06-01,Furnas,553,0.09822685054883198
1945-07-01,Furnas,500,0.08330987897551365
1945-08-01,Furnas,349,0.04081058260624824
1945-09-01,Furnas,314,0.030959752321981414
1945-10-01,Furnas,349,0.04081058260624824
1945-11-01,Furnas,765,0.15789473684210525
1945-12-01,Furnas,1585,0.38868561778778493
1946-01-01,Furnas,3201,0.8435125246270757
1946-02-01,Furnas,1310,0.31128623698283137
1946-03-01,Furnas,1467,0.35547424711511394
1946-04-01,Furnas,1152,0.2668167745567126
1946-05-01,Furnas,756,0.15536166619757952
1946-06-01,Furnas,627,0.11905432029271037
1946-07-01,Furnas,548,0.09681958907965099
1946-08-01,Furnas,430,0.06360821840698
1946-09-01,Furnas,335,0.03687025049254151
1946-10-01,Furnas,516,0.08781311567689276
1946-11-01,Furnas,690,0.13678581480439064
1946-12-01,Furnas,749,0.15339150014072614
1947-01-01,Furnas,1775,0.44216155361666193
1947-02-01,Furnas,1840,0.46045595271601464
1947-03-01,Furnas,3757,1.0
1947-04-01,Furnas,1677,0.41457922882071485
1947-05-01,Furnas,1034,0.23360540388404163
1947-06-01,Furnas,804,0.16887137630171686
1947-07-01,Furnas,699,0.1393188854489164
1947-08-01,Furnas,548,0.09681958907965099
1947-09-01,Furnas,814,0.1716858992400788
1947-10-01,Furnas,627,0.11905432029271037
1947-11-01,Furnas,714,0.14354066985645933
1947-12-01,Furnas,1331,0.3171967351533915
1948-01-01,Furnas,1503,0.36560652969321694
1948-02-01,Furnas,1721,0.4269631297495074
1948-03-01,Furnas,1826,0.4565156206023078
1948-04-01,Furnas,1075,0.24514494793132566
1948-05-01,Furnas,769,0.15902054601745005
1948-06-01,Furnas,668,0.13059386433999437
1948-07-01,Furnas,480,0.07768083309878976
1948-08-01,Furnas,419,0.06051224317478187
1948-09-01,Furnas,349,0.04081058260624824
1948-10-01,Furnas,385,0.05094286518435125
1948-11-01,Furnas,765,0.15789473684210525
1948-12-01,Furnas,1263,0.29805797917253024
1949-01-01,Furnas,1682,0.4159864902898958
1949-02-01,Furnas,2221,0.5676892766676048
1949-03-01,Furnas,1327,0.3160709259780467
1949-04-01,Furnas,951,0.2102448634956375
1949-05-01,Furnas,757,0.1556431184914157
1949-06-01,Furnas,618,0.11652124964818464
1949-07-01,Furnas,467,0.07402195327891922
1949-08-01,Furnas,385,0.05094286518435125
1949-09-01,Furnas,337,0.037433155080213894
1949-10-01,Furnas,399,0.05488319729805797
1949-11-01,Furnas,716,0.14410357444413172
1949-12-01,Furnas,1153,0.2670982268505488
1950-01-01,Furnas,1559,0.38136785814804386
1950-02-01,Furnas,2519,0.6515620602307909
1950-03-01,Furnas,1581,0.38755980861244016
1950-04-01,Furnas,1185,0.276104700253307
1950-05-01,Furnas,852,0.1823810864058542
1950-06-01,Furnas,655,0.12693498452012383
1950-07-01,Furnas,592,0.10920349000844357
1950-08-01,Furnas,496,0.08218406980016887
1950-09-01,Furnas,428,0.06304531381930761
1950-10-01,Furnas,485,0.07908809456797072
1950-11-01,Furnas,1059,0.24064171122994651
1950-12-01,Furnas,1649,0.4066985645933014
1951-01-01,Furnas,1568,0.38390092879256965
1951-02-01,Furnas,1994,0.5037996059667886
1951-03-01,Furnas,1806,0.45088657472558397
1951-04-01,Furnas,1276,0.30171685899240075
1951-05-01,Furnas,899,0.19560934421615536
1951-06-01,Furnas,700,0.1396003377427526
1951-07-01,Furnas,557,0.09935265972417676
1951-08-01,Furnas,476,0.07655502392344499
1951-09-01,Furnas,388,0.05178722206585983
1951-10-01,Furnas,432,0.06417112299465241
1951-11-01,Furnas,377,0.048691246833661696
1951-12-01,Furnas,761,0.15676892766676048
1952-01-01,Furnas,1214,0.2842668167745567
1952-02-01,Furnas,1881,0.4719954967632986
1952-03-01,Furnas,2356,0.6056853363354912
1952-04-01,Furnas,1386,0.3326766113143822
1952-05-01,Furnas,770,0.15930199831128625
1952-06-01,Furnas,706,0.14128905150576979
1952-07-01,Furnas,507,0.08528004503236702
1952-08-01,Furnas,406,0.056853363354911333
1952-09-01,Furnas,404,0.05629045876723895
1952-10-01,Furnas,382,0.05009850830284266
1952-11-01,Furnas,661,0.12862369828314102
1952-12-01,Furnas,791,0.16521249648184633
1953-01-01,Furnas,605,0.1128623698283141
1953-02-01,Furnas,680,0.1339712918660287
1953-03-01,Furnas,839,0.17872220658598367
1953-04-01,Furnas,1040,0.23529411764705885
1953-05-01,Furnas,509,0.08584294962003941
1953-06-01,Furnas,409,0.057697720236419926
1953-07-01,Furnas,354,0.042217844075429216
1953-08-01,Furnas,303,0.027863777089783277
1953-09-01,Furnas,307,0.028989586265128063
1953-10-01,Furnas,330,0.03546298902336054
1953-11-01,Furnas,513,0.08696875879538418
1953-12-01,Furnas,813,0.1714044469462426
1954-01-01,Furnas,743,0.15170278637770898
1954-02-01,Furnas,1261,0.29749507458485785
1954-03-01,Furnas,666,0.13003095975232198
1954-04-01,Furnas,661,0.12862369828314102
1954-05-01,Furnas,632,0.12046158176189137
1954-06-01,Furnas,450,0.06923726428370391
1954-07-01,Furnas,328,0.03490008443568814
1954-08-01,Furnas,273,0.019420208274697433
1954-09-01,Furnas,222,0.005066141289051501
1954-10-01,Furnas,299,0.026737967914438505
1954-11-01,Furnas,420,0.06079369546861806
1954-12-01,Furnas,593,0.10948494230227976
1955-01-01,Furnas,1186,0.2763861525471432
1955-02-01,Furnas,722,0.1457922882071489
1955-03-01,Furnas,913,0.19954967632986206
1955-04-01,Furnas,665,0.1297495074584858
1955-05-01,Furnas,417,0.059949338587109484
1955-06-01,Furnas,380,0.049535603715170275
1955-07-01,Furnas,280,0.021390374331550797
1955-08-01,Furnas,232,0.007880664227413452
1955-09-01,Furnas,248,0.012383900928792567
1955-10-01,Furnas,284,0.022516183506895583
1955-11-01,Furnas,417,0.059949338587109484
1955-12-01,Furnas,1163,0.2699127497889107
1956-01-01,Furnas,1103,0.2530256121587391
1956-02-01,Furnas,712,0.14297776526878694
1956-03-01,Furnas,1184,0.27582324795947083
1956-04-01,Furnas,597,0.11061075147762453
1956-05-01,Furnas,564,0.10132282578103011
1956-06-01,Furnas,532,0.09231635237827188
1956-07-01,Furnas,399,0.05488319729805797
1956-08-01,Furnas,430,0.06360821840698
1956-09-01,Furnas,352,0.041654939487756816
1956-10-01,Furnas,310,0.029833943146636642
1956-11-01,Furnas,416,0.05966788629327329
1956-12-01,Furnas,1165,0.27047565437658316
1957-01-01,Furnas,1605,0.39431466366450885
1957-02-01,Furnas,1475,0.35772586546580354
1957-03-01,Furnas,1663,0.41063889670700815
1957-04-01,Furnas,1548,0.37827188291584574
1957-05-01,Furnas,952,0.2105263157894737
1957-06-01,Furnas,681,0.1342527441598649
1957-07-01,Furnas,587,0.1077962285392626
1957-08-01,Furnas,465,0.07345904869124684
1957-09-01,Furnas,620,0.11708415423585702
1957-10-01,Furnas,437,0.06557838446383338
1957-11-01,Furnas,784,0.16324233042499298
1957-12-01,Furnas,1202,0.28088938924852236
1958-01-01,Furnas,955,0.21137067267098228
1958-02-01,Furnas,1535,0.37461300309597517
1958-03-01,Furnas,1249,0.2941176470588235
1958-04-01,Furnas,897,0.19504643962848298
1958-05-01,Furnas,894,0.1942020827469744
1958-06-01,Furnas,752,0.15423585702223472
1958-07-01,Furnas,638,0.12215029552490853
1958-08-01,Furnas,480,0.07768083309878976
1958-09-01,Furnas,585,0.10723332395159021
1958-10-01,Furnas,662,0.1289051505769772
1958-11-01,Furnas,711,0.14269631297495075
1958-12-01,Furnas,847,0.18097382493667324
1959-01-01,Furnas,1815,0.45341964537010976
1959-02-01,Furnas,1408,0.33886856177877844
1959-03-01,Furnas,1250,0.2943990993526597
1959-04-01,Furnas,1094,0.2504925415142133
1959-05-01,Furnas,693,0.13763017168589925
1959-06-01,Furnas,581,0.10610751477624542
1959-07-01,Furnas,497,0.08246552209400507
1959-08-01,Furnas,465,0.07345904869124684
1959-09-01,Furnas,401,0.05544610188573037
1959-10-01,Furnas,428,0.06304531381930761
1959-11-01,Furnas,668,0.13059386433999437
1959-12-01,Furnas,780,0.16211652124964818
1960-01-01,Furnas,1564,0.3827751196172248
1960-02-01,Furnas,1646,0.4058542077117928
1960-03-01,Furnas,2119,0.538981142696313
1960-04-01,Furnas,999,0.22375457359977483
1960-05-01,Furnas,859,0.18435125246270756
1960-06-01,Furnas,651,0.12580917534477906
1960-07-01,Furnas,638,0.12215029552490853
1960-08-01,Furnas,508,0.08556149732620322
1960-09-01,Furnas,397,0.05432029271038558
1960-10-01,Furnas,428,0.06304531381930761
1960-11-01,Furnas,548,0.09681958907965099
1960-12-01,Furnas,1311,0.31156768927666756
1961-01-01,Furnas,2747,0.7157331832254433
1961-02-01,Furnas,2902,0.7593582887700535
1961-03-01,Furnas,2754,0.7177033492822966
1961-04-01,Furnas,1457,0.352659724176752
1961-05-01,Furnas,1223,0.2867998874190824
1961-06-01,Furnas,841,0.17928511117365606
1961-07-01,Furnas,676,0.13284548269068394
1961-08-01,Furnas,571,0.10329299183788349
1961-09-01,Furnas,506,0.08499859273853083
1961-10-01,Furnas,426,0.062482409231635234
1961-11-01,Furnas,636,0.12158739093723614
1961-12-01,Furnas,772,0.15986490289895863
1962-01-01,Furnas,1300,0.30847171404446944
1962-02-01,Furnas,2389,0.6149732620320856
1962-03-01,Furnas,1573,0.3853081902617506
1962-04-01,Furnas,944,0.2082746974387841
1962-05-01,Furnas,796,0.1666197579510273
1962-06-01,Furnas,696,0.13847452856740783
1962-07-01,Furnas,534,0.09287925696594426
1962-08-01,Furnas,472,0.07542921474810019
1962-09-01,Furnas,464,0.07317759639741064
1962-10-01,Furnas,695,0.13819307627357164
1962-11-01,Furnas,833,0.17703349282296652
1962-12-01,Furnas,1454,0.35181536729524343
1963-01-01,Furnas,1723,0.42752603433717984
1963-02-01,Furnas,1489,0.36166619757951024
1963-03-01,Furnas,994,0.22234731213059386
1963-04-01,Furnas,640,0.12271320011258091
1963-05-01,Furnas,524,0.09006473402758233
1963-06-01,Furnas,442,0.06698564593301434
1963-07-01,Furnas,399,0.05488319729805797
1963-08-01,Furnas,347,0.04024767801857585
1963-09-01,Furnas,297,0.026175063326766106
1963-10-01,Furnas,369,0.04643962848297214
1963-11-01,Furnas,507,0.08528004503236702
1963-12-01,Furnas,334,0.036588798198705315
1964-01-01,Furnas,1453,0.35153391500140724
1964-02-01,Furnas,1954,0.49254151421334075
1964-03-01,Furnas,823,0.17421896988460456
1964-04-01,Furnas,752,0.15423585702223472
1964-05-01,Furnas,611,0.11455108359133126
1964-06-01,Furnas,469,0.07458485786659161
1964-07-01,Furnas,378,0.04897269912749789
1964-08-01,Furnas,258,0.01519842386715451
1964-09-01,Furnas,225,0.005910498170560087
1964-10-01,Furnas,531,0.09203490008443568
1964-11-01,Furnas,742,0.1514213340838728
1964-12-01,Furnas,1255,0.29580636082184064
1965-01-01,Furnas,2464,0.6360821840698002
1965-02-01,Furnas,3125,0.8221221502955249
1965-03-01,Furnas,2523,0.6526878694061357
1965-04-01,Furnas,1321,0.31438221221502954
1965-05-01,Furnas,1438,0.3473121305938643
1965-06-01,Furnas,1062,0.2414860681114551
1965-07-01,Furnas,947,0.20911905432029274
1965-08-01,Furnas,777,0.1612721643681396
1965-09-01,Furnas,641,0.1229946524064171
1965-10-01,Furnas,973,0.21643681396003375
1965-11-01,Furnas,1188,0.2769490571348156
1965-12-01,Furnas,1869,0.4686180692372643
1966-01-01,Furnas,3033,0.796228539262595
1966-02-01,Furnas,2092,0.5313819307627358
1966-03-01,Furnas,2679,0.6965944272445821
1966-04-01,Furnas,1450,0.35068955811989866
1966-05-01,Furnas,1034,0.23360540388404163
1966-06-01,Furnas,726,0.14691809738249367
1966-07-01,Furnas,581,0.10610751477624542
1966-08-01,Furnas,486,0.07936954686180692
1966-09-01,Furnas,484,0.07880664227413453
1966-10-01,Furnas,805,0.16915282859555306
1966-11-01,Furnas,1343,0.3205741626794258
1966-12-01,Furnas,1856,0.4649591894173937
1967-01-01,Furnas,3014,0.7908809456797073
1967-02-01,Furnas,2594,0.6726709822685055
1967-03-01,Furnas,1916,0.4818463270475654
1967-04-01,Furnas,1168,0.27132001125809174
1967-05-01,Furnas,880,0.19026175063326767
1967-06-01,Furnas,763,0.15733183225443287
1967-07-01,Furnas,624,0.1182099634112018
1967-08-01,Furnas,546,0.0962566844919786
1967-09-01,Furnas,503,0.08415423585702222
1967-10-01,Furnas,523,0.08978328173374614
1967-11-01,Furnas,1080,0.24655220940050662
1967-12-01,Furnas,1303,0.309316070925978
1968-01-01,Furnas,1656,0.40866873065015474
1968-02-01,Furnas,988,0.2206585983675767
1968-03-01,Furnas,959,0.21249648184632705
1968-04-01,Furnas,612,0.11483253588516745
1968-05-01,Furnas,471,0.075147762454264
1968-06-01,Furnas,409,0.057697720236419926
1968-07-01,Furnas,358,0.04334365325077399
1968-08-01,Furnas,367,0.04587672389529974
1968-09-01,Furnas,363,0.044750914719954966
1968-10-01,Furnas,453,0.0700816211652125
1968-11-01,Furnas,390,0.05235012665353222
1968-12-01,Furnas,1337,0.31888544891640863
1969-01-01,Furnas,1171,0.2721643681396003
1969-02-01,Furnas,1193,0.27835631860399657
1969-03-01,Furnas,966,0.2144666479031804
1969-04-01,Furnas,636,0.12158739093723614
1969-05-01,Furnas,413,0.0588235294117647
1969-06-01,Furnas,436,0.06529693216999718
1969-07-01,Furnas,338,0.0377146073740501
1969-08-01,Furnas,313,0.03067830002814522
1969-09-01,Furnas,214,0.0028145229383619436
1969-10-01,Furnas,478,0.07711792851111737
1969-11-01,Furnas,1241,0.29186602870813394
1969-12-01,Furnas,1143,0.26428370391218686
1970-01-01,Furnas,1412,0.33999437095412327
1970-02-01,Furnas,1280,0.3028426681677455
1970-03-01,Furnas,1321,0.31438221221502954
1970-04-01,Furnas,761,0.15676892766676048
1970-05-01,Furnas,534,0.09287925696594426
1970-06-01,Furnas,446,0.06811145510835914
1970-07-01,Furnas,430,0.06360821840698
1970-08-01,Furnas,347,0.04024767801857585
1970-09-01,Furnas,614,0.11539544047283987
1970-10-01,Furnas,527,0.09090909090909091
1970-11-01,Furnas,827,0.17534477905994933
1970-12-01,Furnas,555,0.09878975513650437
1971-01-01,Furnas,612,0.11483253588516745
1971-02-01,Furnas,357,0.043062200956937795
1971-03-01,Furnas,477,0.07683647621728118
1971-04-01,Furnas,401,0.05544610188573037
1971-05-01,Furnas,310,0.029833943146636642
1971-06-01,Furnas,365,0.04531381930762735
1971-07-01,Furnas,309,0.02955249085280045
1971-08-01,Furnas,218,0.003940332113706722
1971-09-01,Furnas,232,0.007880664227413452
1971-10-01,Furnas,470,0.0748663101604278
1971-11-01,Furnas,533,0.09259780467210807
1971-12-01,Furnas,1546,0.37770897832817335
